project,status,output,error,build_time_sec,run_time_sec
37931,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
51686,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
67044,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 11, in <module>
    from opencv.cv import *
ModuleNotFoundError: No module named 'opencv'",15.5,0.93
97256,success,,,6.79,0.75
113635,success,,,15,1.1
125559,success,,,7.25,0.95
130583,success,,,14.23,1.26
137653,success,,,6.96,1.22
137667,success,,,8.31,1.34
144747,success,,,6.76,0.8
174056,success,,,7.5,1.69
215274,runtime_error,,"File ""/app/snippet.py"", line 89
    except Exception, e:
           ^^^^^^^^^^^^
SyntaxError: multiple exception types must be parenthesized",7.04,0.78
238302,success,,"2025-10-11 04:50:06.835601: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 04:50:06.835983: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",95.34,3.08
246727,success,,,7.26,1.02
256155,success,,,7.19,1.14
260617,success,,,6.96,1.22
263113,exception,,'NoneType' object is not subscriptable,3.21,
268379,success,,,15.13,1.37
283860,exception,,'NoneType' object is not subscriptable,2.77,
286805,success,,,162.92,2.28
290224,exception,,'NoneType' object is not subscriptable,3.17,
296207,success,,,7.5,1.69
299905,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 4, in <module>
    from django.utils.encoding import smart_unicode, smart_str
ImportError: cannot import name 'smart_unicode' from 'django.utils.encoding' (/usr/local/lib/python3.9/site-packages/django/utils/encoding.py)",6.9,0.84
304963,success,,,7.25,1.11
305322,success,,,15.13,1.37
313761,exception,,'NoneType' object is not subscriptable,4.05,
317164,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
326462,exception,,'NoneType' object is not subscriptable,3.41,
342989,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 2, in <module>
    import pymc
ModuleNotFoundError: No module named 'pymc'",45.08,1.08
347596,success,,,7.25,0.95
350281,runtime_error,,"ine 2, in <module>
    from django.db.models.sql.query import *  # NOQA
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/site-packages/django/db/models/sql/query.py"", line 11, in <module>
    from collections import Counter, Iterator, Mapping, OrderedDict
ImportError: cannot import name 'Iterator' from 'collections' (/usr/local/lib/python3.11/collections/__init__.py)",6.78,0.83
445785,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 5, in <module>
    from gevent.wsgi import WSGIServer
ModuleNotFoundError: No module named 'gevent.wsgi'",5.79,1.04
477969,exception,,'NoneType' object is not subscriptable,2.98,
484009,exception,,'NoneType' object is not subscriptable,2.76,
492713,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    from flask import Flask, request, redirect, url_for, make_response, abort
ModuleNotFoundError: No module named 'flask'",4.57,0.86
493065,exception,,'NoneType' object is not subscriptable,3.49,
504232,success,,,18.18,1.19
511440,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 5, in <module>
    from django.contrib.auth.forms import UserCreationForm
ModuleNotFoundError: No module named 'django'",3.7,0.89
542786,runtime_error,,"File ""/app/snippet.py"", line 237
    print ""Iteration"", it
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(""Iteration"", it)?",13.06,1.02
571027,success,,,13.1,1.34
586892,success,,"2025-10-11 04:50:06.835601: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 04:50:06.835983: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",95.34,3.08
592040,success,,,16.58,1.14
594015,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 23, in <module>
    from django.core.urlresolvers import RegexURLResolver, RegexURLPattern
ModuleNotFoundError: No module named 'django.core.urlresolvers'",7.4,1.01
603819,exception,,'NoneType' object is not subscriptable,4.53,
608595,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 106, in <module>
    from itertools import imap
ImportError: cannot import name 'imap' from 'itertools' (unknown location)",13.71,0.99
619473,success,,,7.25,0.95
626356,runtime_error,,"File ""/app/snippet.py"", line 20
    print ""Manhattan norm:"", n_m, ""/ per pixel:"", n_m/img1.size
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",15.28,1.03
654157,success,,,19.87,1.82
