Project Name,Number of Packages,Number of APIs,Time Taken (seconds)
00056d4304c58a035c87cdf5ff1e5e3e_phase1,3,3,8.11
000eccf3d66540d75def_phase1,4,6,8.24
00135b0dfee0ae165ad2_phase1,4,10,10.39
005bbad123ef309a5bef_phase1,6,9,13.13
005ceac0483fc5a581cc_phase1,5,14,11.27
00a17b1d374dfc267a9a_phase1,2,10,6.92
00a4835bf36513ca58a3_phase1,2,4,7.77
00e9638c0efad1adac878522cf172484_phase1,8,24,17.35
011004bcac763eaf6f28_phase1,6,11,13.1
0115e0ce312f26ff59f4fbf4f5821ca2_phase1,3,12,10.65
015e2ce27cecdea63564_phase1,2,5,6.78
01886b6f79ba0c4dce66_phase1,2,7,5.83
0191e14717af68bbba81_phase1,3,10,9.15
019fd5c706e0bc94879f_phase1,2,5,7.62
01b8b8e1909ae0f601c85e142f2bd15b_phase1,6,10,11.33
01bf3900d3a02c4e3927b2a2bcf39100_phase1,4,7,7.18
01c99322cf985e771827_phase1,2,5,5.04
026a4d6400b1efac9a13a3296f16e655_phase1,3,7,7.16
02ff378b3a91de94306a84d3aa2228bb_phase1,6,19,17.88
0306734dfe17076dfd34e09660c198c0_phase1,10,20,29.92
034e799c19eb763fa859_phase1,2,3,7.47
035dc3b722b7f89cce66520dde285c9a_phase1,3,3,8.13
037e4134d8271c0de71b838a461e7ac1_phase1,9,19,25.14
03d9c46c86691c9bb680_phase1,4,6,10.5
03de5c4c21138da5c29d_phase1,1,0,6.63
044682e76def583a12e6c09209c664a1_phase1,16,21,20.53
045c887b6ccdf0edf4648da0c40bcc12_phase1,5,31,9.91
046e434c51057dc9588762edd40199b1_phase1,3,7,6.84
04c2b5ce5978c0d66e6e_phase1,2,5,6.66
04ef258fa29e4e685287a30cf60462d0_phase1,2,7,5.69
04f3047ca8770f4a3a58_phase1,5,12,10.83
053b89bd6975f89f043871335dce8c5b_phase1,4,5,10.08
053db410f7fdd4e1d6034a0a7fd45d9b_phase1,7,14,12.84
054023c4fca5369ffdb2_phase1,4,6,9.07
056626de3fbdc7cf7b59de1d9f6279d1_phase1,4,11,14.44
05aadb969e43788593d3_phase1,2,10,5.05
05bec6966701f720c3aa_phase1,11,21,4.42
05ff99985269200cdc4854ddc04fa6e9_phase1,4,10,7.25
0618f44dc5270f9a2be2826d0d933ed7_phase1,4,4,8.15
06336eb10a1628850d6f_phase1,4,7,9.99
06649145d7e6c4c147c02459fd2bc5af_phase1,5,13,12.58
070c805d947bd17c7a19_phase1,2,5,5.01
071932322204bcad6063_phase1,3,7,7.98
075c35b536cc08b832e353f2f43c0bdc_phase1,8,11,18.13
076424abd8b012371b516da32807ca14_phase1,7,13,16.6
076bbc6a0d5056d20ad45095b434b02d_phase1,6,9,12.46
07cdfc2826a565b50a68_phase1,3,4,9.14
0830affa1f7f19fd47b06d4cf89ed44d_phase1,2,5,5.22
083777cb1f8c9efe6418c75d18bdd32b_phase1,4,6,10.84
0932b2b5293839cd7d79fa6b513c8128_phase1,2,5,8.37
09648344984565f9477a_phase1,3,7,12.08
096f3b651b268b7af4c8c32475fa23d1_phase1,5,8,11.49
097f97f4cb67c554f04dba6b5a09a506_phase1,2,3,6.07
098f399d69f230521ef530baca832e76_phase1,5,5,12.31
09b1f5403c63ceab5ae34710cbe2809e_phase1,2,2,5.45
09cae53bf67ea8a39700_phase1,3,4,9.51
09f5ab44486b1fc6df7bf20ce57159f1_phase1,9,10,20.17
0a2ac74d800a2eff9540_phase1,3,4,6.8
0a3d4fae965bdbec1f9d_phase1,6,13,12.99
0a509faf231cff3cdec7_phase1,2,5,18.92
0aaa9e4659977a98fc9f36d6887fef37_phase1,2,5,7.04
0acf77b2c022e2467cfb0d5493d454d6_phase1,3,3,13.12
0afa43225bdbe8e803cb_phase1,6,10,5.06
0b42dbd687ae3b838728_phase1,3,4,6.28
0b677b13fca6cd0905ca_phase1,3,9,8.04
0b7e91487dcf10c0b8e8711eb6d73bc5_phase1,3,10,10.71
0b92b9ca837a0f5474c732876220db78_phase1,6,11,17.14
0b942dd86f01efe996b8977b158c37a6_phase1,3,4,7.07
0b9d8a742fe0efe0fe82_phase1,2,8,4.2
0ba0270279a0f38280423754cea2ee1e_phase1,5,31,13.64
0bc7d313e7a84b708374_phase1,3,5,6.31
0bdd7059a08cbcd00898_phase1,2,16,7.55
0c01b7a27e512db480847fac2cc54103_phase1,4,11,10.14
0c10e910e514832b7103_phase1,3,5,9.19
0c7ccae5d764ff61788fc626096e5688_phase1,2,5,6.43
0ca2272c015266e667924836364349c3_phase1,4,8,14.32
0cdd8d6adb8463961f50bd1845faddf8_phase1,3,7,6.86
0cfe89a89b892e47e8418e281dfe318d_phase1,5,6,12.97
0d1baad4e3a871587ab1_phase1,2,3,5.67
0d25683d9c8fce27edd3_phase1,7,12,19.73
0d5a709bbb4186d1f45f2af14c65b110_phase1,5,8,9.84
0d5b3e7cc89cb2180c6e_phase1,3,12,6.67
0d9745f39a034758e51e_phase1,3,8,9.4
0d9f91f789f0c523b0e7_phase1,7,1,11.1
0db840f27f1f0fd0747f13ab80d0ca37_phase1,3,5,8.51
0e7d366d2e3623c5bb95_phase1,2,4,5.09
0ec0c3f5ca69bac2b625_phase1,6,8,12.79
0ee6dd444994fd67f63b_phase1,3,9,11.14
0efb4d07f28af1c8fc1b_phase1,4,7,9.84
0efb90d998c59d5926ca7f4e79054361_phase1,5,10,7.96
0efcacfb43827ba3a6bac3356315c419_phase1,2,6,7.5
0f450e738bf79c003253_phase1,5,6,12.74
0f575a0891cfef5f1b0024c89dcbaeea_phase1,3,6,9.09
0f5f65ddbfa278713f58_phase1,7,19,4.52
0f87efc363309e99d600e3a6300fbcff_phase1,5,10,13.01
10005117_phase1,12,21,33.45
10010307_phase1,1,11,3.79
10011921_phase1,4,9,11.4
10016605_phase1,3,5,9.73
10023837_phase1,4,7,9.01
1009475_phase1,9,17,20.27
101323115e70bb6671d3_phase1,2,5,7.29
10206392_phase1,3,8,9.94
1023456_phase1,6,8,11.76
10235798_phase1,3,1,6.61
1025525_phase1,2,4,7.23
1025736_phase1,9,20,26.37
10281460_phase1,2,5,7.43
1029336_phase1,1,7,4.53
10295174_phase1,4,13,17.49
1029870_phase1,2,5,6.37
10335601_phase1,2,4,6.95
1035190_phase1,4,9,7.4
10354951_phase1,6,12,6.7
1035890_phase1,4,3,7.51
1036883_phase1,4,8,9.37
1038987_phase1,2,5,6.16
1040366_phase1,8,16,15.5
1041172_phase1,3,6,9.21
1042719_phase1,2,5,5.97
1042778_phase1,5,10,10.89
10438748_phase1,14,10,28.94
1044215_phase1,2,4,6.04
1045108_phase1,4,5,14.48
10491632_phase1,4,9,11.2
1052286_phase1,11,22,10.56
1054969_phase1,2,14,12.09
1055161_phase1,3,13,9.57
10554232_phase1,7,10,17.12
1055992_phase1,3,3,7.24
10567484_phase1,3,10,4.12
10589494_phase1,6,9,13.9
1059647_phase1,3,4,13.3
1065196_phase1,4,13,9.23
1068021_phase1,1,3,4.95
1068255_phase1,2,5,5.47
1068868_phase1,4,12,9.8
106c49a3ae6d420937aa_phase1,4,6,9.11
1072977_phase1,2,4,8.31
1074124_phase1,2,5,6.77
1074202_phase1,30,15,21.37
1074227_phase1,4,4,9.28
1074551_phase1,5,10,11.43
1077318_phase1,2,3,3.92
1077970_phase1,3,4,7.22
10792332_phase1,4,6,7.56
1082570_phase1,3,4,9.13
1083908_phase1,3,3,6.25
1088273_phase1,2,6,6.65
1091026_phase1,2,6,5.94
10938795_phase1,2,5,6.87
1094832_phase1,2,7,6.85
10955449_phase1,4,5,10.98
1096373_phase1,4,4,17.49
1098968_phase1,5,8,9.31
10cd35b2872628246140_phase1,2,3,7.65
1104507_phase1,3,7,8.37
1104553_phase1,2,3,6.18
1107375_phase1,3,4,7.28
11078820_phase1,4,7,11.23
1108817_phase1,3,6,6.73
1109153_phase1,2,2,8.16
1112928_phase1,4,7,10.66
11129975_phase1,3,7,8.25
1118585_phase1,4,4,8.11
11192605_phase1,2,3,7.26
111c8ee32505a11ad7a6c629f277c2a4_phase1,2,8,6.36
11215761_phase1,2,3,6.14
11242170_phase1,4,6,8.87
1124bb02a9fd4abce3d86caf2f950cb2_phase1,4,20,9.88
1125832_phase1,2,3,6.52
11280233_phase1,2,8,6.46
11284662_phase1,6,21,18.49
11292725_phase1,12,26,24.21
1133602_phase1,5,9,10.73
1134410_phase1,4,6,9.09
113635_phase1,3,5,18.75
11367287_phase1,5,10,11.11
11375647_phase1,2,4,6.89
11378945_phase1,4,4,6.68
1140136_phase1,2,3,6.43
1140516_phase1,9,15,21.23
11405336_phase1,3,6,7.87
1142740_phase1,8,8,16.19
1147973_phase1,7,10,15.5
11526013_phase1,8,10,19.23
11538913_phase1,3,4,14.72
1160201_phase1,9,7,15.03
1160696_phase1,3,4,7.5
1161423_phase1,1,5,8.06
1165038_phase1,6,11,15.13
1165344_phase1,5,9,8.76
1177373_phase1,2,4,6.42
1183767_phase1,3,5,8.35
1183842_phase1,3,3,8.06
1184264_phase1,10,20,4.72
1186126_phase1,4,7,10.03
1189327_phase1,3,6,11.93
1191457_phase1,5,7,10.06
1192059_phase1,4,4,10.1
1196291_phase1,5,9,5.81
1200485_phase1,6,11,11.65
1202066_phase1,2,3,5.84
1202516_phase1,4,5,8.41
1203640_phase1,3,8,11.83
1207636_phase1,2,3,5.53
1210791_phase1,3,12,9.26
1217855_phase1,4,8,9.46
1218932_phase1,5,7,10.49
1219671_phase1,1,7,5.94
1219955_phase1,7,8,14.58
1228626_phase1,3,4,6.83
1229681_phase1,5,6,14.38
1229685_phase1,3,4,6.62
1229770_phase1,6,11,12.85
122f258ba6eaa23dd9c5_phase1,4,7,9.49
1231964e784ab9acb65d_phase1,8,13,19.2
1233846_phase1,2,4,6.78
1234843_phase1,6,15,11.95
1239373_phase1,8,12,17.63
1239674_phase1,2,2,5.46
1242589_phase1,2,5,7.42
1246146_phase1,2,2,6.32
1246268_phase1,2,2,4.97
1248728_phase1,5,5,9.61
1251716_phase1,3,5,7.5
1253332_phase1,3,3,7.73
1254809_phase1,5,6,9.59
125559_phase1,3,5,7.98
1260ba896d448bad0eebdf26b80c00cc_phase1,3,17,8.61
1262332_phase1,3,4,8.64
1264102_phase1,7,12,19.51
1265346_phase1,9,14,15.03
1267632_phase1,3,5,9.82
1268033_phase1,4,5,7.24
1269098_phase1,2,12,5.95
1269949_phase1,4,5,11.97
127368f7dc810dd37fe18aee87dd2ee2_phase1,1,1,3.84
1275204_phase1,2,3,6.12
1277655_phase1,4,6,10.92
1283684_phase1,5,7,12.55
1284577_phase1,4,6,11.39
1285742_phase1,5,9,10.76
1288025_phase1,2,17,6.58
1288160dad16cc473a53_phase1,2,2,6.34
1289286_phase1,2,4,7.58
